"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping"
"%s's Wishlist","%s отмеченных товаров"
"* Required Fields","* Обязательные поля"
"Add All to Cart","Добавить всё в корзину"
"Add to Cart","Добавить в корзину"
"Add to Wishlist","Отметить товар"
"Added On",Добавлен
"Are you sure you want to remove this product from your wishlist?","Вы действительно хотите удалить данные товар из отмеченных?"
"Are You sure?","Вы уверены?"
"Cannot create wishlist","Не могу создать список отмеченных товаров"
"Cannot specify product","Не могу определить товар"
Comment,Комментарий
"E-mail Addresses required","E-mail адрес обязателен"
"Email addresses, separated by commas","Email адреса, разделённые запятыми"
"Go to Wishlist","Перейти к отмеченным товарам"
"Last Added Items","Недавно добавленные товары"
Message,Сообщение
"My Wishlist","Мои отмеченные товары"
"My Wishlist (%d item)","Мои отмеченные товары (%d товар)"
"My Wishlist (%d items)","Мои отмеченные товары (%d товаров)"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","Мои отмеченные товары <span class=""count"">- <a href=""%s"">%d товар(ов)</a></span>"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Пожалуйста, укажите правильные email адреса, разделённые запятыми. Например вася@пупкин.com, коля@бубкин.com."
"Please, enter your comments...","Пожалуйста, введите Ваш комментарий..."
Product,Товар
"Remove Item","Удалить товар"
"Share Wishlist","Открыть отмеченные товары"
"Share Your Wishlist","Открыть Ваш список отмеченных товаров"
"There was an error while adding item to wishlist: %s","There was an error while adding item to wishlist: %s"
"There was an error while deleting item from wishlist: %s","There was an error while deleting item from wishlist: %s"
"Update Wishlist","Обновить отмеченные товары"
"View Product","Смотреть товар"
"Wishlist Sharing","Открытие отмеченных товаров"
"You have no items in your wishlist.","У Вас нет товаров в Вашем списке отмеченных товаров."
"You have placed no product yet.","Ещё не было добавлено ни одного товара."
"Your Wishlist was successfully shared","Ваш список отмеченных товаров открыт"
