"API Gateway URL","API网关URL"
"Accepted Currency","接受的汇率"
"An error has occurred","发生错误"
"Card Verification Number","卡片验证号码"
"Click <a href=""%s"">here</a> to continue shopping.","单击<a href=""%s"">这里</a>来继续购物。"
"Credit Card Number","信用卡号码"
"Credit Card Number: xxxx-%s","信用卡号码：xxxx-%s"
"Credit Card Type","信用卡类型"
"Credit Card Type: %s","信用卡类型：%s"
"Credit Card Types","信用卡类型"
"Credit Card Verification","信用卡验证"
"Customer ID","客户ID"
"Customer was redirected to eWAY.","客户被重定向到eWAY。"
"Debug Flag","调试标志"
"Enabled","已启用"
"Expiration Date","过期日期"
"Name on Card","卡片上的名字"
"Name on the Card: %s","卡片上的名字：%s"
"New Order Status","新订单状态"
"Payment from Applicable Countries","从可接受的国家支付"
"Payment from Specific Countries","从指定的国家支付"
"Please Select","请选择"
"Selected currency code (%s) is not compatible with eWAY.","所选货币代码（%s）不兼容eWAY。"
"Sort Order","排序顺序"
"The customer has successfully returned from eWAY.","客户已成功从eWAY返回。"
"The customer was rejected by eWAY.","客户被eWAY拒绝。"
"There has been an error processing your payment.","处理您的支付时遇到了错误。"
"There has been an error processing your payment. Please try later or contact us for help.","处理您的支付时遇到了错误。请稍候重试或联系我们获得帮助。"
"Title","标题"
"Use Beagle Anti-Fraud","基本Beagle反欺诈"
"What is this?","这是什么？"
"You will be redirected to eWAY 3D-Secure in a few seconds.","几秒后，您将被重定向到eWAY进行3D安全验证。"
"You will be redirected to eWAY 3D-Secure website when you place an order.","当您下单时，您将被重定向到eWAY 3D验证网站。"
"You will be redirected to eWAY in a few seconds.","几秒后您将被重定向到eWAY。"
"You will be redirected to eWAY website when you place an order.","当您下单时，您将被重定向到eWAY网站。"
"eWAY 3D-Secure","eWAY 3D安全验证"
"eWAY Direct","eWAY定向"
"eWAY Shared","eWAY 共享"
