Remove,weghalen
No,Nee
Action,actie
Website,Website
"Order #%1","Order #%1"
Refunded,Geretourneerd.
Created,Gemaakt
Comment,Commentaar
Date,Datum
"Store Credit",winkelcrediet
"Delete Orphan Balances","Verwijder enkele saldo's"
"Balance Change","Verandering van saldo"
Balance,Saldo
"Customer notified","Klant ingelicht?"
Notified,Ingelicht
"More information","Extra informatie"
"Update Balance","Update saldo"
"An amount on which to change the balance","Een aantal waarop het saldo kan worden veranderd"
"Notify Customer by Email","Licht klant in via e-mail"
"Send Email Notification From the Following Store View","Verstuur e-mail notificatie vanuit de volgende winkelweergave"
"Failed to initialize customer","Niet geslaagd om klant te initialiseren"
"The store credit payment has been removed from shopping cart.","De betaling vanuit het winkelcrediet is verwijderd uit uw winkelwagen."
"You are not using store credit in your shopping cart.","You are not using store credit in your shopping cart."
"A website ID must be set.","A website ID must be set."
"By admin: %1.","By admin: %1."
"By admin: %1. (%2)","By admin: %1. (%2)"
"Please also set the Store ID.","Please also set the Store ID."
"The Store ID must be set to send email notifications.","The Store ID must be set to send email notifications."
"A customer ID must be specified.","A customer ID must be specified."
"This customer is not set or does not exist.","This customer is not set or does not exist."
Updated,Geüpdate
Used,Gebruikt
Reverted,Teruggedraaid
"You need a balance to save your balance history.","You need a balance to save your balance history."
"There is no credit memo set to balance model.","There is no credit memo set to balance model."
"Order #%1, creditmemo #%2","Order #%1, creditmemo #%2"
"Unknown balance history action code","Onbekende saldo-geschiedenis actie code"
"There is no order set to balance model.","Er is geen bestelling bepaald voor het saldo model"
"You do not have enough store credit to complete this order.","You do not have enough store credit to complete this order."
"The store credit used cannot exceed order amount.","The store credit used cannot exceed order amount."
"Store Credit Balance","Winkelcrediet saldo"
"Balance History","Saldo geschiedenis"
"Refund Store Credit to Store Credit","Retourneer winkelcrediet naar winkelcrediet."
"Refund Money to Store Credit","Retourneer geld naar winkelcrediet"
"Refund to Store Credit","Retourneer naar winkelcrediet."
"Use Store Credit (%1 available)","Use Store Credit (%1 available)"
"Your current balance is:","Uw huidige saldo is:"
"Use Store Credit","Gebruik winkelcrediet"
available,Beschikbaar
"Refunded to Store Credit","Geretourneerd naar winkelcrediet."
