ID,ID
SKU,SKU
"Shopping Cart",购物车
No,否
Email,电子邮件
Yes,是
Status,状态
"Save and Continue Edit",保存并继续编辑
"Store View",店铺视图
Description,描述
Website,网站
Rule,Rule
"Start on","Start on"
"End on","End on"
Active,活动
N/A,N/A
"General Information",常规信息
"Product Attributes",产品属性
"Add New Rule",添加新规则
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule",新规则
"Rule Information",规则信息
Conditions,条件
"Rule Name",规则名称
Inactive,未激活
"From Date",来自日期
"To Date",截止日期
"Edit Rule",修改规则
Daily,Daily
"Assigned to Website",分配到网站
"Unknown operator specified.",指定了未知操作。
has,有
"does not have",没有
"Product %1","Product %1"
"Wish List","Wish List"
found,找到
"not found",未找到
"Email Templates",邮件模板
"-- Not Selected --","-- 未选择 --"
"This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it.","This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it."
"Automated Email Marketing Reminder Rules",自动邮件营销提醒规则
"Are you sure you want to match this rule now?",您是否确认要立刻匹配该规则？
"No more than %1 customers may receive the reminder email after this action.","No more than %1 customers may receive the reminder email after this action."
"Run Now",现在运行
"Email Reminder Rule",邮件提醒规则
"You need to set at least one condition for this rule to work.","You need to set at least one condition for this rule to work."
"Matched At",匹配于
"Thread Active",线程活动
Coupon,折扣券
"Coupon Use Limit",折扣券使用限制
"Coupon Use Per Customer","Coupon Use Per Customer"
"Emails Sent",邮件已发送
"Emails Failed",邮件出错
"Last Sent",上次发送于
"Reminder emails may promote a shopping cart price rule with or without a coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","Reminder emails may promote a shopping cart price rule with or without a coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer."
"Shopping Cart Price Rule",共享购物车规则
"Promotion rule this reminder will advertise.",促销规则将打广告。
"Repeat Schedule",重复时间表
"Enter the number of days before email reminder rule is triggered if conditions match (comma separate, e.g., ""7, 14"").","Enter the number of days before email reminder rule is triggered if conditions match (comma separate, e.g., ""7, 14"")."
"Select Rule...","Select Rule..."
"Only customers who registered on a store view will receive emails related to that store view.","Only customers who registered on a store view will receive emails related to that store view."
"Default Titles and Description",默认标题和描述
