"3D Secure","3D Secure"
"3D Secure Card Validation","Validação de Cartão 3D Secure"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Validação Segura 3D é necessária para cartões Maestro. Suporte de cartões American Express exige um acordo adicional. Saiba mais em <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Ability for buyer to purchase without PayPal account.","Capacidade para o comprador comprar sem conta PayPal."
"Account Status","Account Status"
"Active","Active"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Adicione um botão Checkout expresso ao seu carrinho de compras existente para pagamentos rápidos e fáceis com cartão de crédito. PayPal lida com todo o processamento de pagamento."
"Allowed Credit Card Types","Tipos de Cartão de Crédito Permitido"
"Also affects mini-shopping cart.","Também afeta o mini carrinho de compras."
"API Credentials","API Credentials"
"Authentication Method","Authentication Method"
"Boarding Status","Boarding Status"
"Canceled","Canceled"
"Centinel Custom Api URL","Centinel Custom Api URL"
"Countries Payment Applicable From","Pagamento a Países Aplicável Desde"
"Credit Card Settings","Configurações do Cartão de Crédito"
"Debug Mode","Modo de Depuração"
"Disabled","Disabled"
"Display Express Checkout in the Payment Information step","Display Express Checkout in the Payment Information step"
"Does not work if there are more than 10 shipping options available.","Does not work if there are more than 10 shipping options available."
"Enable PayPal Guest Checkout","Habilitar Conclusão de Pagamento pelo PayPal Sem Conta"
"Enable this Solution","Enable this Solution"
"Grant Permissions to Magento Go with PayPal","Grant Permissions to Magento Go with PayPal"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Se vazio, um valor definido será usado. URL personalizado pode ser fornecido por acordo CardinalCommerce."
"If this is an existing PayPal account - ","If this is an existing PayPal account - "
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Se esta opção estiver ativada, o cliente pode mudar o endereço de entrega e a forma de envio no site PayPal. No modo ao vivo funciona via protocolo único HTTPS."
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Recomenda-se definir este valor como ""Cartão de Débito ou de Crédito"" por visualizações de loja."
"It is recommended to set this value to ""PayPal"" per store views.","Recomenda-se definir este valor como ""PayPal"" por visualizações de loja."
"Method's Settings","Method's Settings"
"Payment Action","Ação de Pagamento"
"Payment Applicable From","Pagamento Aplicável Desde"
"Paypal Account","Paypal Account"
"PayPal Express Checkout Shortcut Wrapper","Atalho Envoltório PayPal de Checkout Expresso"
"PayPal Express Order Review Form","PayPal Express: Revisar Pedido"
"Pending","Pending"
"Permissions","Permissions"
"Require CVV Entry","Requer Entrada CVV"
"Setup or change your site permissions with Paypal","Setup or change your site permissions with Paypal"
"Severe 3D Secure Card Validation","Validação de Cartão Severe 3D Secure"
"Severe Validation Removes Chargeback Liability on Merchant","Validação Severe Remove a Responsabilidade de Cobrança Retroativa no Comerciante"
"Shortcut Buttons Flavor","Sabor botões de atalho"
"Shortcut on Product View","Atalho na Visão do Produto"
"Shortcut on Shopping Cart","Atalho no Carrinho de Compras"
"Sort Order","Classificar pedido"
"Title","Título"
"Transfer Cart Line Items","Itens de Linha de Carrinho de Transferência"
"Transfer Shipping Options","Opções de Envio de Transferência"
"Unable to start Express Checkout.","Impossível iniciar Fechamento Expresso de Pedido."
"Value must contain only alphanumeric character","Value must contain only alphanumeric character"
"Website Payment Pro (Permissions)","Website Payment Pro (Permissions)"
"Website Payment Pro (Permissions) Settings","Website Payment Pro (Permissions) Settings"
"Website Payments Pro (API Credentials)","Website Payments Pro (API Credentials)"
"Website Payments Pro (API Credentials) Settings","Website Payments Pro (API Credentials) Settings"
"You will be redirected to the Paypal site.  Any Express Checkout or Website Payment Pro settings will be reset. Are you sure?","You will be redirected to the Paypal site.  Any Express Checkout or Website Payment Pro settings will be reset. Are you sure?"
