"KG","Kilogram (kg)"
"LBS","Pond (lbs)"
"G","Gram (g)"
"MG","Milligram (mg)"
"L","Liter"
"ML","Milliliter (ml)"
"M","Meter (m)"
"IN","Inch"
"CM","Centimeter (cm)"
"MM","Millimeter (mm)"
"PCS","Stuk"
"KG short","Kg"
"LBS short","Lbs"
"G short","Gr"
"MG short","Mg"
"L short","L"
"ML short","Ml"
"M short","M"
"IN short","Zoll"
"CM short","Cm"
"MM short","Mm"
"PCS short","Pc"
"Automatically append the base price block to the price on the product view","Voeg automatisch de basisprijs blok naar de prijs op het product te bekijken"
"Base Price","Basisprijs"
"Calculate the base price based on the product price including tax","Bereken de basisprijs op basis van de prijs van het product inclusief BTW"
"Conversion rate not found for %s to %s","Omrekeningskoers niet gevonden voor %s naar %s"
"Frontend Label","Frontend Label"
"The default packaging unit to use on products for the base price (can be set on a product level, too)","De standaard verpakkingseenheid om op producten te gebruiken voor de basisprijs (kan worden ingesteld op een product niveau, ook)"
"The default reference amount for the reference unit (can be set on a product level, too)","De standaard referentie voor de referentie-eenheid (kan worden ingesteld op een product niveau, ook)"
"The default reference unit for the base price (can be set on a product level, too)","De standaard referentie-eenheid voor de basisprijs (kan ook worden ingesteld op een product niveau)"
"What the customer sees","Wat de klant ziet"
"Reference unit not set","Referentie unit niet ingesteld"
"The product unit amount must be greater than zero","Het product bedrag per eenheid moet groter dan nul zijn"
"Flat Catalog Product was rebuilt successfully after baseprice installation","Flat Catalogus Product is succesvol herbouwd na basisprijs installatie"
"Error rebuilding flat product catalog:","Fout bij de wederopbouw plat product catalogus:"
"The product settings were not saved","De product instellingen zijn niet opgeslagen"
"Enable","Maak bruikbaar"
"Measurement to be used for the base product","Metingen worden gebruikt voor het basisproduct"
"Measurement to be used for the unit product","Meting moeten worden gebruikt voor de eenheid product"
"Volume/size of the unit product","Volume/grootte van de eenheid product"
"Display the unit product's price on the product page in the frontend","Toon de eenheid product prijs op de productpagina in op de voorkant"
"Validation failed","Goedkeuring mislukt"
"Frontend Label","Label op de voorkant"
"Calculate the unit product's price based on the base product's price, including tax","Bereken de productprijs per stuk op basis van de prijs van het basisproduct, met inbegrip van belastingen"
