Magento,Magento
"The hash is not valid.","The hash is not valid."
"The order is not valid.","The order is not valid."
"Start Ogone Processing",开始Ogone处理
"Can't detect Ogone payment action","无法检测 Ogone 支付操作"
"The order cannot be saved.",订单无法保存。
"Authorization Waiting from Ogone","正在等待从 Ogone 的授权"
"Processed by Ogone",由Ogone处理
"Order can't save",订单无法保存
"Something went wrong during the payment process, and so the result is unpredictable.","Something went wrong during the payment process, and so the result is unpredictable."
"Something went wrong during the authorization process, and so the result is unpredictable.","Something went wrong during the authorization process, and so the result is unpredictable."
"Unknown exception",未知例外
"Something went wrong while saving this order.","Something went wrong while saving this order."
"Exception not defined",异常未定义
"Declined Order on Ogone side","Declined Order on Ogone side"
"The payment transaction has been declined.","The payment transaction has been declined."
"The order was canceled on the Ogone side.","The order was canceled on the Ogone side."
"Something went wrong while canceling this order.","Something went wrong while canceling this order."
"Ogone Default Operation",Ogone默认操作
Authorization,授权
"Direct Sale",直销
"Horizontally grouped logo with group name on left",左侧带组名称的水平分组标志
"Horizontally grouped logo with no group name",不带组名称的水平分组标志
"Verical list",垂直列表
Ogone,Ogone
"Pending Ogone",挂起的Ogone
"Cancelled Ogone","已取消 Ogone"
"Declined Ogone","已拒绝 Ogone"
"Processing Ogone Payment",正在处理Ogone支付
"Processed Ogone Payment",已处理的Ogone支付
"Waiting Authorization",等待身份验证
"Payment ID: %1","Payment ID: %1"
"You will be redirected to Ogone website when you place an order.",在下单时，您会被重定向到Ogone的网站。
"Please stand by. In a moment, this page will transfer your data to the Ogone payment gateway.","Please stand by. In a moment, this page will transfer your data to the Ogone payment gateway."
