"3D Secure","3D Secure"
"3D Secure Card Validation","Validación de Tarjeta 3D Secure"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Para tarjetas Maestro se requiere validación 3D Secure. Para aceptar tarjetas American Express se requiere un acuerdo adicional. Obtenga más información en <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Ability for buyer to purchase without PayPal account.","Capacidad del comprador para comprar sin cuenta de PayPal."
"Account Status","Estado de la cuenta"
"Active","Activar"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Añada un botón de Comprobación Urgente a su actual carro de la compra para realizar pagos rápidos y sencillos con tarjeta de crédito. PayPal gestiona todo el proceso de pago."
"Allowed Credit Card Types","Tipos de tarjeta de crédito aceptados"
"Also affects mini-shopping cart.","También afecta al mini-carro de la compra."
"API Credentials","Credenciales API"
"Authentication Method","Método de autenticación"
"Boarding Status","Estado del embarque"
"Canceled","Anulado"
"Centinel Custom Api URL","URL de la Api de cliente proporcionada por Centinel"
"Countries Payment Applicable From","Países desde los que es posible el pago"
"Credit Card Settings","Ajustes de la tarjeta de crédito"
"Debug Mode","Modo prueba de errores"
"Disabled","Deshabilitado"
"Display Express Checkout in the Payment Information step","Mostrar Pago exprés en la pantalla de información del Pago"
"Does not work if there are more than 10 shipping options available.","No funciona si hay más de 10 opciones de envío disponibles."
"Enable PayPal Guest Checkout","Activar comprobación de invitado de PayPal"
"Enable this Solution","Habilitar esta solución"
"Grant Permissions to Magento Go with PayPal","Permitir permisos a Magento Go con PayPal"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Al dejarlo en blanco, se utilizará un valor por defecto. Se puede proporcionar un URL personalizado por el acuerdo CardinalCommerce."
"If this is an existing PayPal account - ","Si es una cuenta de PayPal existente -"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Si esta opción está activada, el cliente puede cambiar la dirección de envío y el modo de envío en la página web de PayPal. En modo directo funciona solo a través del protocolo HTTPS."
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Se recomienda fijar este valor en ""Tarjeta de débito o crédito"" por vistas de tienda."
"It is recommended to set this value to ""PayPal"" per store views.","Se recomienda fijar este valor en ""PayPal"" por vistas de tienda."
"Method's Settings","Ajustes del modo"
"Payment Action","Acción de Pago"
"Payment Applicable From","Pago posible desde"
"Paypal Account","Cuenta de PayPal"
"PayPal Express Checkout Shortcut Wrapper","Acceso directo al check-out exprés de PayPal"
"PayPal Express Order Review Form","Formulario de revisión de compra por PayPal Express"
"Pending","Pendiente"
"Permissions","Permisos"
"Require CVV Entry","Requiere el código de seguridad de la tarjeta"
"Setup or change your site permissions with Paypal","Establezca o cambie los permisos del sitio web con PayPal"
"Severe 3D Secure Card Validation","Validación de Tarjeta Severe 3D Secure"
"Severe Validation Removes Chargeback Liability on Merchant","La Validación Severe Suprime la Responsabilidad de Cancelación de Cargo del Comerciante"
"Shortcut Buttons Flavor","Tipo de botones de atajo"
"Shortcut on Product View","Atajo en la vista del producto"
"Shortcut on Shopping Cart","Atajo en el carro de la compra"
"Sort Order","Orden de selección"
"Title","Título"
"Transfer Cart Line Items","Transferir las líneas de los artículos en el carrito"
"Transfer Shipping Options","Transferir las opciones de envío"
"Unable to start Express Checkout.","Imposible iniciar la Comprobación Urgente."
"Value must contain only alphanumeric character","El valor debe contener solo caracteres alfanuméricos"
"Website Payment Pro (Permissions)","Pago en la página web Pro (Permisos)"
"Website Payment Pro (Permissions) Settings","Ajustes de pago en la página web Pro (Permisos)"
"Website Payments Pro (API Credentials)","Pagos en sitio web Pro (Credenciales de API)"
"Website Payments Pro (API Credentials) Settings","Opciones de pagos en sitio web Pro (Credenciales de API)"
"You will be redirected to the Paypal site.  Any Express Checkout or Website Payment Pro settings will be reset. Are you sure?","Serás redirigido a la página web de Paypal. Cualquier configuración de Pago Exprés o Pagos en sitio web Pro será restablecida. ¿Estás seguro?"
