"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure-Kartenbestätigung"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Für Maestro-Karten wird eine 3D Secure-Bestätigung benötigt. Die Verwendung von American Express-Karten setzt eine weitere Vereinbarung voraus. Mehr Informationen dazu auf <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Ability for buyer to purchase without PayPal account.","Möglichkeit des Käufers, ohne PayPal-Konto zu bezahlen."
"Account Status","Kontenstatus"
"Active","Aktiv"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Knopf für Expresscheckout zu Ihrem bestehenden Einkaufswagen hinzufügen für schnelle und einfache Kreditkartenzahlungen. PayPal übernimmt alle Zahlungsprozesse."
"Allowed Credit Card Types","Erlaubte Kreditkartentypen"
"Also affects mini-shopping cart.","Beeinflusst auch Mini-Einkaufswagen."
"API Credentials","API Credentials"
"Authentication Method","Authentifizierungsverfahren"
"Boarding Status","Boardingstatus"
"Canceled","Gelöscht"
"Centinel Custom Api URL","Benutzerspezifische Centinel-Api-URL"
"Countries Payment Applicable From","Länder Woher Zahlung Möglich"
"Credit Card Settings","Kreditkarteneinstellungen"
"Debug Mode","Debug-Modus"
"Disabled","Deaktiviert"
"Display Express Checkout in the Payment Information step","Anzeige der Express-Kaufabwicklung im Schritt Zahlungsinformationen"
"Does not work if there are more than 10 shipping options available.","Funktioniert nicht, wenn mehr als 10 Liefermethoden zur Auswahl stehen."
"Enable PayPal Guest Checkout","PayPal-Gästecheckout aktivieren"
"Enable this Solution","Diese Lösung aktivieren"
"Grant Permissions to Magento Go with PayPal","Erteilen sie die Rechte an Magento Go mit PayPal"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Es wird ein Standardwert verwendet, falls das Feld freigelassen wird. Eine benutzerdefinierte URL darf nach der CardinalCommerce-Vereinbarung angegeben werden."
"If this is an existing PayPal account - ","Bei einem bestehenden PayPal-Konto:"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Wenn diese Option aktiviert ist, können Kunden Lieferadresse und Lieferungsart auf der PayPal-Webseite ändern. Funktioniert im Live-Modus nur über HTTPS-Protokoll."
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Es wird empfohlen, diesen Wert auf ""Debit- oder Kreditkarte"" zu setzen."
"It is recommended to set this value to ""PayPal"" per store views.","Es wird empfohlen, diesen Wert auf ""PayPal"" Ansicht pro Geschäft zu setzen."
"Method's Settings","Methodeneinstellungen"
"Payment Action","Zahlungsaktion"
"Payment Applicable From","Zahlung Möglich Von"
"Paypal Account","Paypal-Konto"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout Shortcut Wrapper"
"PayPal Express Order Review Form","PayPal Express Ansicht Bestellformular"
"Pending","ausstehend / anhängig"
"Permissions","Berechtigungen"
"Require CVV Entry","Kartenprüfnummer erfordern"
"Setup or change your site permissions with Paypal","Seitenberechtigungen mit Paypal einstellen oder ändern"
"Severe 3D Secure Card Validation","Strenge Absicherung der 3D geschützten Karte"
"Severe Validation Removes Chargeback Liability on Merchant","Die bestehende strenge Absicherung entzieht den Verkäufer der Verbindlichkeit Ausgleichsbuchungen nachkommen zu müssen"
"Shortcut Buttons Flavor","Ton des Schnellbuttons"
"Shortcut on Product View","Direktweg zur Produktansicht"
"Shortcut on Shopping Cart","Direktweg zum Einkaufswagen"
"Sort Order","Sortierfolge"
"Title","Titel"
"Transfer Cart Line Items","Einkaufswagen-Rechnungsposten transferieren"
"Transfer Shipping Options","Lieferungsarten transferieren"
"Unable to start Express Checkout.","Expresscheckout kann nicht gestartet werden."
"Value must contain only alphanumeric character","Der Wert darf nur alphanumerische Zeichen enthalten."
"Website Payment Pro (Permissions)","Webseitenbezahlung Pro (Berechtigungen)"
"Website Payment Pro (Permissions) Settings","Einstellungen für Webseitenbezahlung Pro (Berechtigungen)"
"Website Payments Pro (API Credentials)","Webseite Payments Pro (API-Beglaubigung)"
"Website Payments Pro (API Credentials) Settings","Webseite Payments Pro (API-Beglaubigung) Einstellungen"
"You will be redirected to the Paypal site.  Any Express Checkout or Website Payment Pro settings will be reset. Are you sure?","Sie werden weitergeleitet zur PayPal-Seite. Jegliche Einstellungen für Express Checkout oder Website Payment Pro werden zurückgesetzt. Sind Sie sicher?"
