"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s a été ajouté à votre liste d'envies. Cliquez <a href=""%2$s"">ici</a> pour continuer vos achats."
"%s's Wishlist","Liste d'envies de %s"
"* Required Fields","* Champs obligatoires"
"Add All to Cart","Tout ajouter au panier"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste d'envies"
"Added On","Ajouté le"
"Are you sure you want to remove this product from your wishlist?","Êtes-vous sûr de vouloir enlever ce produit de votre liste d'envies ?"
"Cannot create wishlist","Impossible de créer la liste d'envies"
"Cannot specify product","Impossible de spécifier le produit"
"Comment","Commentaire"
"E-mail Addresses required","Adresses email obligatoire"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Email addresses, separated by commas","Adresses email, séparées par des virgules"
"Enabled","Activé"
"General Options","General Options"
"Go to Wishlist","Aller à la liste d'envies"
"Message","Message"
"My Wishlist","Ma liste d'envies"
"My Wishlist (%d item)","Ma liste d'envies (%d article)"
"My Wishlist (%d items)","Ma liste d'envies (%d articles)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Veuillez saisir une liste d'adresses email valide, séparées par des virgules. Par exemple, jeandupond@domaine.com, martindupond@domaine.com"
"Please, enter your comments...","Veuillez saisir vos commentaires..."
"Product","Produit"
"Remove Item","Retirer l'article"
"Share Wishlist","Partager une liste d'envies"
"Share Your Wishlist","Partagez votre liste d'envies"
"Share options","Share options"
"There was an error while adding item to wishlist: %s","Erreur lors de l'ajout d'un article dans la liste d'envies: %s"
"There was an error while deleting item from wishlist: %s","Erreur lors de la suppression d'un article de la liste d'envies: %s"
"Update Wishlist","Mettre à jour la liste d'envies"
"View Product","Voir produit"
"Wishlist","Liste d'envies"
"Wishlist Sharing","Partage de liste d'envies"
"You have no items in your wishlist.","Vous n'avez pas d'article dans votre liste d'envies."
"You have placed no product yet.","Vous n'avez pas encore sélectionné d'article."
"Your Wishlist was successfully shared","Votre liste d'envies a été partagée"
