"Authorization","授权"
"Card Verification Number","卡片验证号码"
"Credit Card Number","信用卡号码"
"Credit Card Number: xxxx-%s","信用卡号码：xxxx-%s"
"Credit Card Type","信用卡类型"
"Credit Card Type: %s","信用卡类型：%s"
"Credit Card Types","信用卡类型"
"Credit Card Verification","信用卡验证"
"Cybersource (SOAP Toolkit)","Cybersource（SOAP工具包）"
"Debug","调试"
"Enabled","已启用"
"Error in refunding the payment.","支付退款时出错。"
"Expiration Date","过期日期"
"Gateway request error: %s","网关请求错误：%s"
"Invalid transaction id or token","交易编号或令牌无效"
"Issue Number","问题编号"
"JCB","JCB"
"Laser","Laser"
"Maestro (International)","Maestro（国际）"
"Maestro/Solo(UK Domestic)","Maestro/Solo（UK Domestic）"
"Merchant ID","分行ID"
"Name on Card","卡片上的名字"
"Name on the Card: %s","卡片上的名字：%s"
"New Order Status","新订单状态"
"Payment Action","支付操作"
"Payment from Applicable Countries","从可接受的国家支付"
"Payment from Specific Countries","从指定的国家支付"
"SOAP extension is not enabled. Please contact us.","SOAP 扩展未启用。请联系我们。"
"Sale","销售"
"Security Key","安全密钥"
"Sort Order","排序顺序"
"Start Date","开始日期"
"Switch/Solo/Maestro(UK Domestic) Only","仅限Switch/Solo/Maestro（UK Domestic）"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic)卡发卡号：%s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) 卡发卡日期：%s/%s"
"Test Mode","测试模式"
"There is an error in processing the payment. Please try again or contact us.","处理支付时发生错误。请重试或联系我们。"
"Title","标题"
"UATP","UATP"
"What is this?","这是什么？"
"Year","年"
