"503 Service Unavailable","503 Dienst nicht verfügbar"
"200 OK","200 OK"
"Website Closed","Website geschlossen"
"Private Sales: Login Only","Privatverkäufe: Nur anmelden"
"Private Sales: Login and Register","Privatverkäufe: Anmelden und Registrieren"
"To login form (302 Found)","Zum Anmeldeformular (302 Gefunden)"
"To landing page (302 Found)","Zur Zielseite (302 Gefunden)"
"Startup Page","Startup Page"
"Landing Page","Landing Page"
"Access Restriction","Access Restriction"
"Restriction Mode","Restriction Mode"
"Applicable only if restriction mode is set to ""Private Sales"".","Applicable only if restriction mode is set to ""Private Sales""."
"HTTP Response","HTTP Response"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML."
