Quantity,Cantidad
No,No
Action,Action
Delete,Eliminar
Yes,Sí
From,De
Website,Website
"All Websites","Todos los Sitios Web"
N/A,N/A
Ordered,Pedido
Invoiced,Facturado
"In stock","In stock"
"Out of stock","Out of stock"
Availability:,Availability:
"Use Config Settings","Usar Opciones de Configuración"
Minimum,Minimum
Maximum,Maximum
"Gift Card Information","Información de Tarjeta Regalo"
Virtual,Virtual
Physical,Físico
Combined,Combinado
"Add Amount","Añadir Importe"
"Gift Card Type","Tipo de Tarjeta Regalo"
"Gift Card Sender","Remitente de Tarjeta Regalo"
"Gift Card Recipient","Destinatario de Tarjeta Regalo"
"Gift Card Message","Mensaje de Tarjeta Regalo"
"Gift Card Lifetime","Vigencia de Tarjeta Regalo"
"Gift Card Is Redeemable","La Tarjeta Regalo Es Canjeable"
"We cannot create this gift card.","We cannot create this gift card."
"Gift Card Accounts","Cuentas de Tarjeta Regalo"
"Duplicate amount found.","Duplicate amount found."
"Something went wrong  preparing the gift card.","Something went wrong  preparing the gift card."
"Please specify a gift card amount.","Please specify a gift card amount."
"Please specify all the required information.","Por favor, especifique toda la información solicitada."
"Gift Card max amount is %1","Gift Card max amount is %1"
"Gift Card min amount is %1","Gift Card min amount is %1"
"Please specify a recipient name.","Please specify a recipient name."
"Please specify a sender name.","Please specify a sender name."
"Please specify a recipient email.","Please specify a recipient email."
"Please specify a sender email.","Please specify a sender email."
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>."
Amount,Importe
"Choose an Amount...","Elija un Importe..."
"Other Amount...","Otro Importe..."
"Amount in %1","Amount in %1"
"Sender Name","Nombre del Remitente"
"Sender Email","E-mail del Remitente"
"Recipient Name","Nombre del Destinatario"
"Recipient Email","E-mail del Destinatario"
Message,Mensaje
"Maximum length of the message is %1 characters.","Maximum length of the message is %1 characters."
"Messaging and Lifetime","Messaging and Lifetime"
"Treat Balance as Store Credit","Treat Balance as Store Credit"
"Lifetime (days)","Vigencia (días)"
"Allow Message","Permitir Mensaje"
"Email Template","Plantilla de email"
"Delete Amount","Borrar Importe"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maximum: %1"
