"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Cardholder Validation","3D Secure Cardholder Validation"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce Indicator"
"3D Secure Verification Result","3D Secure Verification Result"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Card Issuer Liability"
"Card Verification","Card Verification"
"Centinel validation is filed. Please check information and try again","Centinel validation is filed. Please check information and try again"
"Centinel validation is filed. Please check payment information and try again","Centinel validation is filed. Please check payment information and try again"
"Centinel validation is not complete","Centinel validation is not complete"
"Centinel validation is not complete. You can continue or check information and try again","Centinel validation is not complete. You can continue or check information and try again"
"Enrolled","Enrolled"
"Enrolled but Authentication Unavailable","Enrolled but Authentication Unavailable"
"Failed","Failed"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Merchant Liability"
"Not Enrolled","Not Enrolled"
"Order cannot be placed.","Order cannot be placed."
"Payment information error. Please start over.","Payment information error. Please start over."
"Please continue with placing order.","Please continue with placing order."
"Please continue.","Please continue."
"Please verify the card with the issuer bank before placing the order.","Please verify the card with the issuer bank before placing the order."
"Please verify the card with the issuer bank:","Please verify the card with the issuer bank:"
"Start/Reset Validation...","Start/Reset Validation..."
"Successful","Successful"
"Successful attempt","Successful attempt"
"The card has failed verification with issuer bank.","The card has failed verification with issuer bank."
"This card has failed validation and cannot be used.","This card has failed validation and cannot be used."
"This card has failed validation, but it is possible to place the order.","This card has failed validation, but it is possible to place the order."
"This payment method is not have centinel validation","This payment method is not have centinel validation"
"To ensure the security of your transactions","To ensure the security of your transactions"
"Unable to complete","Unable to complete"
"Validation failed.","Validation failed."
"Validation is filed.","Validation is filed."
"Verification Failed","Verification Failed"
"Verification Successful","Verification Successful"
"Verified by Visa","Verified by Visa"
