Quantity,Quantité
No,Non
Action,Action
Delete,Effacer
Yes,Oui
From,De
Website,Website
"All Websites","Tous les sites internet"
N/A,N/D
Ordered,Commandé
Invoiced,Facturé
"In stock","In stock"
"Out of stock","Out of stock"
Availability:,Availability:
"Use Config Settings","Utiliser les paramètres de configuration"
Minimum,Minimum
Maximum,Maximum
"Gift Card Information","Infos Carte Cadeau"
Virtual,Virtuel
Physical,Physique
Combined,Combiné
"Add Amount","Ajouter montant"
"Gift Card Type","Type de Carte Cadeau"
"Gift Card Sender","Expéditeur Carte Cadeau"
"Gift Card Recipient","Destinataire Carte Cadeau"
"Gift Card Message","Message Carte Cadeau"
"Gift Card Lifetime","Durée de vie de la Carte Cadeau"
"Gift Card Is Redeemable","Carte Cadeau est échangeable"
"We cannot create this gift card.","We cannot create this gift card."
"Gift Card Accounts","Comptes Carte Cadeau"
"Duplicate amount found.","Duplicate amount found."
"Something went wrong  preparing the gift card.","Something went wrong  preparing the gift card."
"Please specify a gift card amount.","Please specify a gift card amount."
"Please specify all the required information.","Veuillez spécifier toutes les infos requises."
"Gift Card max amount is %1","Gift Card max amount is %1"
"Gift Card min amount is %1","Gift Card min amount is %1"
"Please specify a recipient name.","Please specify a recipient name."
"Please specify a sender name.","Please specify a sender name."
"Please specify a recipient email.","Please specify a recipient email."
"Please specify a sender email.","Please specify a sender email."
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>."
Amount,Montant
"Choose an Amount...","Choisir un montant..."
"Other Amount...","Autre montant..."
"Amount in %1","Amount in %1"
"Sender Name","Nom de l'expéditeur"
"Sender Email","Courriel de l'expéditeur"
"Recipient Name","Nom du destinataire"
"Recipient Email","Courriel du destinataire"
Message,Message
"Maximum length of the message is %1 characters.","Maximum length of the message is %1 characters."
"Messaging and Lifetime","Messaging and Lifetime"
"Treat Balance as Store Credit","Treat Balance as Store Credit"
"Lifetime (days)","Durée de vie (jours)"
"Allow Message","Permettre message"
"Email Template","Modèle de courriel"
"Delete Amount","Effacer le montant"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maximum: %1"
Redeemable,Redeemable
"Gift Card Email Settings","Gift Card Email Settings"
"Gift Card Notification Email Sender","Gift Card Notification Email Sender"
"Gift Card Notification Email Template","Gift Card Notification Email Template"
"Gift Card General Settings","Gift Card General Settings"
"If empty no expiration.","If empty no expiration."
"Allow Gift Message","Allow Gift Message"
"Gift Message Maximum Length","Gift Message Maximum Length"
"Generate Gift Card Account when Order Item is","Generate Gift Card Account when Order Item is"
