"",""
" and above."," and above."
"# of Use","# of Use"
"%s Item(s)","%s vare(r)"
"(Copy data from: %s)","(Kopier data fra: %s)"
"(Will make search for the query above return results for this search.)","(Synonym vil give samme søgeresultater som søgningen ovenfor.)"
"A name is required","Navn skal udfyldes"
"ALL GROUPS","ALL GROUPS"
"Action","Handling"
"Add Attribute","Tilføj egenskab"
"Add Design Change","Add Design Change"
"Add Group","Tilføj gruppe"
"Add Items to Cart","Læg varer i kurven"
"Add New","Tilføj ny"
"Add New Attribute","Tilføj ny egenskab"
"Add New Attribute Set","Tilføj nyt egenskabssæt"
"Add New Group","Tilføj ny gruppe"
"Add New Images","Add New Images"
"Add New Search Term","Add New Search Term"
"Add New Set","Tilføjt nyt sæt"
"Add Option","Tilføj mulighed"
"Add Product","Tilføj produkt"
"Add Recipient","Tilf𪠭odtager"
"Add Tier","Tilføj interval"
"Add to Cart","Læg i kurv"
"Add to Compare","Sammenlign med andre produkter"
"Add to My Wishlist","Tilføj til ønskeseddel"
"Add to Wishlist","Sæt på ønskeseddel"
"Additional Information","Yderligere information"
"All","Alle"
"All Reviews","Alle bedømmelser"
"Apply To Configurable/Grouped Product","Tilføj til grupperet produkt"
"Approved","Godkendt"
"Are you sure you want to delete this attribute set?","Er du sikker på at du ønsker at slette dette sæt af egenskaber?"
"Are you sure you want to delete this category?","Er du sikker på, at kategorien skal slettes?"
"Are you sure?","Er du sikker?"
"Array of Entity collections is expected","En array med enhedsliste (entity collection) blev forventet."
"Associated Products","Relaterede produkter"
"Attrib. Set Name","Sæt af egenskaber"
"Attribute Code","Egenskabskode"
"Attribute Identifier","Egenskabsidentifikator"
"Attribute Information","Egenskab - detaljer"
"Attribute Label","Titel"
"Attribute Model","Egenskabsmodel"
"Attribute Name:","Navn:"
"Attribute Properties","Indstillinger for egenskab"
"Attribute Set","Sæt af egenskaber"
"Attribute model not defined","Fejl: Model for attributter er ikke defineret"
"Attribute saver ""%s"" not found","Atrributten ""%s"" kunne ikke findes"
"Attribute set successfully saved.","Sæt af egenskaber blev gemt."
"Attribute set was successfully removed.","Sæt af egenskaber er fjernet"
"Attribute set with the same name already exists.","Et sæt med samme navn eksisterer allerede."
"Attribute source ""%s"" not found","Attribut-kilden ""%s"" kunne ikke findes"
"Attribute with the same code already exists","Egenskab med samme kode findes allerede"
"Attributes","Produktegenskaber"
"Availability: In stock.","Availability: In stock."
"Availability: In stock. Ships within 24 hours.","På lager. Sendes indenfor 24 timer."
"Availability: Out of stock.","Ikke på lager."
"Back","Tilbage"
"Backend Model","Model (back-end)"
"Backend Table","Tabel (back-end)"
"Backend Table Title","Tabeltitel (back-end)"
"Backorders","Backorders"
"Base directory to upload image file is not specified","Base directory to upload image file is not specified"
"Based On","Baseret på"
"Best Selling Products","Mest solgte produkter"
"Best Value","Best Value"
"Bottom/Left","Bottom/Left"
"Bottom/Right","Bottom/Right"
"Browse By","Vis efter"
"Bundle","Pakke"
"Buy %s for %s each","Køb %s for<strong>%s pr. styk</strong>"
"Can be used only with catalog input type Dropdown","Kan kun bruges som drop-down-felt"
"Cannot retrieve current category object","Kunne ikke hente nuværende kategori-objekt"
"Cart Item Attribute","Cart Item Attribute"
"Catalog","Katalog"
"Catalog Input Type for Store Owner","Kataloginput for ejer af forretning"
"Catalog Searches","Katalogsøgninger"
"Catalog, Search","Catalog, Search"
"Categories","Kategorier"
"Categories Sitemap","Kategori-sitemap"
"Category","Kategori"
"Category Data","Kategori - detaljer"
"Category Navigation:","Gennemse kategorier:"
"Category Products","Produkter i denne kategori"
"Category delete error","Fejl under sletning af kategori"
"Category deleted","Kategorien er slettet"
"Category move error","Fejl - kategorien kunne ikke flyttes"
"Category saved","Kategorien er gemt"
"Change","Change"
"Change status","Change status"
"Check items to add to the cart or select all.","Sæt kryds ved de varer du ønsker at tilføje til kurven eller <a href=""#"" onclick=""selectAllRelated();return false;"">vælg alle</a>."
"Choose an Option...","Vælg venligst..."
"Choose option...","Vælg venligst..."
"Clean boot cut women's business pant","Clean boot cut women's business pant"
"Clear All Items","Fjern alle"
"Close Window","Luk vindue"
"Comparable","Kan sammenlignes"
"Comparable on Front-end","Kan sammenlignes"
"Compare Items","Sammenlign varer"
"Compare Products","Sammenlign produkter"
"Compare Products - %d Items","Sammenlign produkter <span class=""count"">- %d Elementer</span>"
"Compare Products List","Sammenlign produkter"
"Conditions Combination","Betingelses-kombination"
"Configurable","Configurable"
"Configurable Product Settings","Konfigurerbare produktindstillinger"
"Continue","Fortsæt"
"Coupons/Discounts","Coupons/Discounts"
"Create Product Settings","Opret produktindstillinger"
"Cross-sell Products","Relaterede produkter"
"Cross-sells","Relaterede"
"Currency","Valuta"
"Currently Shopping by","Currently Shopping by"
"Custom Design","Custom Design"
"Custom Image","Custom Image"
"Customer Reviews","Bedømmelser"
"Customers Reviews","Kunders bedømmelser"
"Customers Tagged Product","Kunder, der har tagget produktet (antal)"
"Customers for alert %s was successfuly added to queue","Customers for alert %s was successfuly added to queue"
"Data Type for Saving in Database","Datatype til at gemme i databasen"
"Date","Dato"
"Datetime","Dato og tidspunkt"
"Decimal","Decimal"
"Decimal Number","Decimaltal"
"Declare atrribute value saving scope","Declare atrribute value saving scope"
"Default Qty","Antal (standard)"
