Amex,"Кредитная карточка Amex"
Authorization,Авторизация
"Billing Information","Информация о плательщике"
"Change Payment Method","Изменить способ оплаты"
"Change Shipping Address","Изменить адрес доставки"
Discover,"Кредитная карточка Discover"
"Edit Shopping Cart","Редактировать корзину"
"Invalid data","Неправильные данные"
"Items in Your Shopping Cart","Товары в Вашей корзине"
MasterCard,"Кредитная карточка MasterCard"
N/A,"Нет данных"
Order,Заказ
"Payment Method","Способ оплаты"
"PayPal Account","PayPal аккаунт"
"Paypal Checkout","Оформление заказа с использованием Paypal"
"Place an Order","Подтвердить заказ"
"Please select a shipping method...","Пожалуйста, выберите способ доставки..."
"Please select a valid shipping method","Пожалуйста, выберите правильный способ доставки"
Price,Цена
"Problem during communication with PayPal","Проблема при соединении с PayPal"
"Product Name","Название товара"
Qty,Количество
"Review Order","Комментарий к заказу"
Sale,Распродажа
"Shipping Address","Адрес доставки"
"Shipping Information","Информация о доставке"
"Shipping Method","Способ доставки"
"Sorry, no quotes are available for this order at this time.","Извините, нет квот для данного заказа в данное время."
Subtotal,"Стоимость товара"
"There was an error connecting to the Paypal server: %s","Ошибка при соединении с PayPal сервером: %s"
"There was an error during communication with Paypal: %s - %s","Ошибка при соединении с PayPal: %s - %s"
"Update Shipping Method","Обновить способ доставки"
Visa,"Кредитная карточка Visa"
"Your billing address will be ignored and you will be redirected to PayPal website","Ваш адрес плательщика будет пропущен и Вы будете перенаправлены на веб сайт платёжной системы PayPal"
