ID,identiteit
SKU,"stock keeping unit"
"Shopping Cart",winkelwagen
No,Nee
Email,E-mail
Yes,Ja
Status,status
"Save and Continue Edit","opslaan en doorgaan met bewerken"
"Store View",winkelweergave
Description,Omschrijving
Website,Website
Rule,Rule
"Start on","Start on"
"End on","End on"
Active,Actief
N/A,n.v.t.
"General Information","Generale informatie"
"Product Attributes","Product Kenmerken"
"Add New Rule","Voeg nieuwe regel toe"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","Nieuwe regel"
"Rule Information","Regel Informatie"
Conditions,Voorwaarden
"Rule Name","Regel Naam"
Inactive,Inactief
"From Date","Van Datum"
"To Date","Tot Datum"
"Edit Rule","Bewerk regel"
Daily,Daily
"Assigned to Website","Toegewezen aan de Website"
"Unknown operator specified.","Opgegeven operator onbekend."
has,"heeft (in andere context: bevat)"
"does not have","bevat geen"
"Product %1","Product %1"
"Wish List","Wish List"
found,gevonden
"not found","niet gevonden"
"Email Templates","E-mail templates"
"-- Not Selected --","-- Niet geselecteerd --"
"This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it.","This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it."
"Automated Email Marketing Reminder Rules","Geautomatiseerde e-mail marketing herinner-regels"
"Are you sure you want to match this rule now?","Weet u zeker dat u deze regel nu wilt overeenkomen?"
"No more than %1 customers may receive the reminder email after this action.","No more than %1 customers may receive the reminder email after this action."
"Run Now","Nu uitvoeren"
"Email Reminder Rule","Bewerk herinnerings-regel"
"You need to set at least one condition for this rule to work.","You need to set at least one condition for this rule to work."
"Matched At","Overeengekomen op"
"Thread Active","Thread Actief"
Coupon,Tegoedbon
"Coupon Use Limit","Tegoedbon gebruikslimiet"
"Coupon Use Per Customer","Coupon Use Per Customer"
"Emails Sent","E-mails verzonden"
"Emails Failed","E-mails niet gelukt"
"Last Sent","Laatst verstuurd op"
"Reminder emails may promote a shopping cart price rule with or without a coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","Reminder emails may promote a shopping cart price rule with or without a coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer."
"Shopping Cart Price Rule","Winkelwagen Prijs Regel"
"Promotion rule this reminder will advertise.","Promotie regel die deze herinnering zal adverteren"
"Repeat Schedule","Herhaal schema"
"Enter the number of days before email reminder rule is triggered if conditions match (comma separate, e.g., ""7, 14"").","Enter the number of days before email reminder rule is triggered if conditions match (comma separate, e.g., ""7, 14"")."
"Select Rule...","Select Rule..."
"Only customers who registered on a store view will receive emails related to that store view.","Only customers who registered on a store view will receive emails related to that store view."
"Default Titles and Description","Standaard titels en omschrijving"
"You can find and edit rule label and descriptions, per store view, in email templates.","You can find and edit rule label and descriptions, per store view, in email templates."
"Rule Title for All Store Views","Regel titel voor alle winkel views."
"Rule Description for All Store Views","Beschrijving van de regel voor alle winkel views"
"Titles and Descriptions Per Store View","Titels en beschrijvingen per winkel bekijken"
"Overrides default titles and descriptions. Note that if email an template is not specified for this store view, the respective variable values will be deleted.","Overschrijft standaard titels en omschrijvingen. Let op, indien e-mail en template niet gespecificeerd zijn voor deze winkelweergave, zullen respectievelijk variabele waarden worden verwijderd."
"Emails and Labels","E-mails en labels"
"Matched Customers","Overeengekomen klanten"
"Reminder Rules",Herinneringsregels
"Please correct the reminder rule you requested.","Please correct the reminder rule you requested."
"Email Reminders","Email Reminders"
"New Reminder Rule","New Reminder Rule"
"You saved the reminder rule.","You saved the reminder rule."
"We could not save the reminder rule.","We could not save the reminder rule."
"You deleted the reminder rule.","You deleted the reminder rule."
"We could not delete the reminder rule.","We could not delete the reminder rule."
"You matched the reminder rule.","You matched the reminder rule."
"Reminder rule matching error.","Herinneringsregel komt overeen met fout"
"You can create auto-generated coupons using reminder promotion rules.","You can create auto-generated coupons using reminder promotion rules."
"Minute Intervals","Minute Intervals"
Hourly,Hourly
"5 minutes","5 minutes"
"10 minutes","10 minutes"
"15 minutes","15 minutes"
"20 minutes","20 minutes"
"30 minutes","30 minutes"
"<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts","<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts"
for,for
"for greater than","for greater than"
"for or greater than","for or greater than"
"Shopping cart is not empty and abandoned %1 %2 days and %3 of these conditions match:","Shopping cart is not empty and abandoned %1 %2 days and %3 of these conditions match:"
"The root shopping cart condition should have a days value of 0 or greater.","The root shopping cart condition should have a days value of 0 or greater."
"Total Amount","Totaal Bedrag"
subtotal,subtotaal
"grand total","algemeen totaal"
"Shopping cart %1 amount %2 %3:","Shopping cart %1 amount %2 %3:"
"Unknown quote total specified","Onbekend offerte totaal gespecificeerd"
"Numeric Attribute","Numerisch attribuut"
weight,gewicht
"row weight","rij gewicht"
quantity,hoeveelheid
"base price",basisprijs
"base cost",basiskosten
"Item %1 %2 %3:","Item %1 %2 %3:"
"Unknown attribute specified","Onbekend kenmerk gespecificeerd"
"Items Subselection","Subselectie van items"
"Coupon Code","Tegoedbon code"
"Shopping cart %1 a coupon applied","Shopping cart %1 a coupon applied"
"Cart Line Items","Winkelwagen lijn items"
"Number of shopping cart line items %1 %2:","Number of shopping cart line items %1 %2:"
"Item SKU %1 %2 ","Item SKU %1 %2 "
"The item was added to shopping cart %1, store view %2.","The item was added to shopping cart %1, store view %2."
from,from
"not from","not from"
"If an item is %1 in the shopping cart with %2 of these conditions match:","If an item is %1 in the shopping cart with %2 of these conditions match:"
"Items Quantity","Kwantiteit items"
"Total shopping cart items quantity %1 %2:","Total shopping cart items quantity %1 %2:"
"Virtual Only","Alleen Virtueel"
"Shopping cart %1 only virtual items","Shopping cart %1 only virtual items"
"The wish list is not empty and abandoned %1 %2 days and %3 of these conditions match:","The wish list is not empty and abandoned %1 %2 days and %3 of these conditions match:"
"The root wish list condition should have a days value of 1 or greater.","The root wish list condition should have a days value of 1 or greater."
"Number of Items","Aantal items"
"Number of wish list items %1 %2 ","Number of wish list items %1 %2 "
Sharing,Delen
"Wish List %1 shared","Wish List %1 shared"
is,is
"is not","is niet"
"The item was added to wish list %1, store view %2.","The item was added to wish list %1, store view %2."
"If an item is %1 in the wish list with %2 of these conditions match:","If an item is %1 in the wish list with %2 of these conditions match:"
"Condition type is unexpected","Condition type is unexpected"
"Please specify a valid number of minute.","Please specify a valid number of minute."
"Unable to save Cron expression","Unable to save Cron expression"
