"Cannot create wishlist,""Nie można utworzyć listy życzeń"""
"Your Wishlist was successfully shared,""Wysłanie listy życzeń do znajomego zakończyło się sukcesem"""
"My Wishlist (%d item),""Lista życzeń (%d produkt)"""
"My Wishlist,""Moja lista życzeń"""
"E-mail Addresses required,""Adres email jest wymagany"""
"My Wishlist (%d items),""Lista życzeń (%d produktów)"""
"Wishlist Sharing,""Podziel się swoją listą życzeń"""
"%s's Wishlist,""%s's Wishlist"""
"Cannot specify product,""Nie można ustalić produktu"""
"Remove Item,""Usuń produkt"""
"Added On,""Dodano: """
"Go to Wishlist,""Zobacz listę życzeń"""
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.,""Wpisz prawidłowe adresy email w formacie jan.kowalski@poczta.pl, oddzielając je przecinkami."""
"Are you sure you want to remove this product from your wishlist?,""Czy na pewno chcesz usunąć produkt z listy życzeń?"""
"Share Wishlist,""Podziel się swoją listą życzeń"""
"Product,""Produkt"""
"Last Added Items,""Ostatnio dodane produkty"""
"You have placed no product yet.,""Nie dodałeś jeszcze żadnych produktów."""
"Update Wishlist,""Aktualizuj listę życzeń"""
"* Required Fields,""* Pola wymagane"""
"Add to Cart,""Dodaj do koszyka"""
"You have no items in your wishlist.,""Nie masz żadnych produktów na liście życzeń."""
"View Product,""Zobacz produkt"""
"Comment,""Komentarz"""
"Add All to Cart,""Dodaj wszystkie produkty do koszyka"""
"Add to Wishlist,""Dodaj do listy życzeń"""
"Email addresses, separated by commas,""Adresy email rozdzielane przecinkami"""
"Share Your Wishlist,""Podziel się swoją listą życzeń"""
"Please, enter your comments...,""Wpisz swój komentarz..."""
"My Wishlist - <a href=""%s"">%d Item(s)</a>,""Lista życzeń <span class=""""count"""">- <a href=""""%s"""">%d produkt(ów)</a></span>"""
"Message,""Wiadomość"""
"Are You sure?,""Czy na pewno?"""
