"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Ability for buyer to purchase without PayPal account.","Ability for buyer to purchase without PayPal account."
"Account Status","Account Status"
"Active","Active"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Add an Express Checkout button to your existing shopping basket for quick and easy credit card payments. PayPal handles all payment processing."
"Allowed Credit Card Types","Allowed Credit Card Types"
"Also affects mini-shopping cart.","Also affects mini-shopping cart (basket)"
"API Credentials","API Credentials"
"Authentication Method","Authentication Method"
"Boarding Status","Boarding Status"
"Canceled","Cancelled"
"Centinel Custom Api URL","Centinel Custom Api URL"
"Countries Payment Applicable From","Countries Payment Applicable From"
"Credit Card Settings","Credit Card Settings"
"Debug Mode","Debug Mode"
"Disabled","Disabled"
"Display Express Checkout in the Payment Information step","Display Express Checkout in the Payment Information step"
"Does not work if there are more than 10 shipping options available.","Does not work if there are more than 10 delivery options available."
"Enable PayPal Guest Checkout","Enable PayPal Guest Checkout"
"Enable this Solution","Enable this Solution"
"Grant Permissions to Magento Go with PayPal","Grant Permissions to Magento Go with PayPal"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement."
"If this is an existing PayPal account - ","If this is an existing PayPal account - "
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","If this option is enabled, customer can change the delivery address and method on PayPal website. In live mode works via HTTPS protocol only."
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","It is recommended to set this value to ""Debit or Credit Card"" per store views."
"It is recommended to set this value to ""PayPal"" per store views.","It is recommended to set this value to ""PayPal"" per store views."
"Method's Settings","Method's Settings"
"Payment Action","Payment Action"
"Payment Applicable From","Payment Applicable From"
"Paypal Account","Paypal Account"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout Shortcut Wrapper"
"PayPal Express Order Review Form","PayPal Express Order Review Form"
"Pending","Pending"
"Permissions","Permissions"
"Require CVV Entry","Require CVV Entry"
"Setup or change your site permissions with Paypal","Setup or change your site permissions with Paypal"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"Shortcut Buttons Flavor","Shortcut Buttons Flavour"
"Shortcut on Product View","Shortcut on Product View"
"Shortcut on Shopping Cart","Shortcut on Shopping Cart (Basket)"
"Sort Order","Sort Order"
"Title","Title"
"Transfer Cart Line Items","Transfer Cart (Basket) Line Items"
"Transfer Shipping Options","Transfer Delivery Options"
"Unable to start Express Checkout.","Unable to start Express Checkout."
"Value must contain only alphanumeric character","Value must contain only alphanumeric character"
"Website Payment Pro (Permissions)","Website Payment Pro (Permissions)"
"Website Payment Pro (Permissions) Settings","Website Payment Pro (Permissions) Settings"
"Website Payments Pro (API Credentials)","Website Payments Pro (API Credentials)"
"Website Payments Pro (API Credentials) Settings","Website Payments Pro (API Credentials) Settings"
"You will be redirected to the Paypal site.  Any Express Checkout or Website Payment Pro settings will be reset. Are you sure?","You will be redirected to the Paypal site. Any Express Checkout or Website Payment Pro settings will be reset. Are you sure?"
