Quantity,Hoeveelheid
No,Nee
Action,Action
Delete,weghalen
Yes,Ja
From,Van
Website,Website
"All Websites","Alle websites"
N/A,n.v.t.
Ordered,Bestelt
Invoiced,Gefactureerd.
"In stock","In stock"
"Out of stock","Out of stock"
Availability:,Availability:
"Use Config Settings","Gebruik configuratiewaarden"
Minimum,Minimum
Maximum,Maximum
"Gift Card Information","Cadeaukaart informatie"
Virtual,Virtueel
Physical,Tastbaar
Combined,Gecombineerd
"Add Amount","Voeg aantal toe"
"Gift Card Type","Cadeaukaart type"
"Gift Card Sender","Cadeaukaart afzender"
"Gift Card Recipient","Cadeaukaart ontvanger"
"Gift Card Message","Cadeaukaart bericht"
"Gift Card Lifetime","Cadeaukaart levenstijd"
"Gift Card Is Redeemable","Cadeaukaart is inwisselbaar"
"We cannot create this gift card.","We cannot create this gift card."
"Gift Card Accounts","Cadeaukaart rekeningen"
"Duplicate amount found.","Duplicate amount found."
"Something went wrong  preparing the gift card.","Something went wrong  preparing the gift card."
"Please specify a gift card amount.","Please specify a gift card amount."
"Please specify all the required information.","Specificeer a.u.b. alle benodigde informatie"
"Gift Card max amount is %1","Gift Card max amount is %1"
"Gift Card min amount is %1","Gift Card min amount is %1"
"Please specify a recipient name.","Please specify a recipient name."
"Please specify a sender name.","Please specify a sender name."
"Please specify a recipient email.","Please specify a recipient email."
"Please specify a sender email.","Please specify a sender email."
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>."
Amount,Aantal
"Choose an Amount...","Kies een aantal..."
"Other Amount...","Ander aantal..."
"Amount in %1","Amount in %1"
"Sender Name","Naam van verzender"
"Sender Email","E-mail van verzender"
"Recipient Name","Naam van ontvanger"
"Recipient Email","E-mail van ontvanger"
Message,Bericht
"Maximum length of the message is %1 characters.","Maximum length of the message is %1 characters."
"Messaging and Lifetime","Messaging and Lifetime"
"Treat Balance as Store Credit","Treat Balance as Store Credit"
"Lifetime (days)","Levenstijd (in dagen)"
"Allow Message","Sta bericht toe"
"Email Template","E-mail template"
"Delete Amount","Verwijder aantal"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maximum: %1"
Redeemable,Redeemable
"Gift Card Email Settings","Gift Card Email Settings"
"Gift Card Notification Email Sender","Gift Card Notification Email Sender"
"Gift Card Notification Email Template","Gift Card Notification Email Template"
"Gift Card General Settings","Gift Card General Settings"
"If empty no expiration.","If empty no expiration."
"Allow Gift Message","Allow Gift Message"
"Gift Message Maximum Length","Gift Message Maximum Length"
"Generate Gift Card Account when Order Item is","Generate Gift Card Account when Order Item is"
