Quantity,Quantidade
No,Não
Action,Action
Delete,Excluir
Yes,Sim
From,De
Website,Website
"All Websites","Todos os sites"
N/A,Indisponível
Ordered,Solicitado
Invoiced,Faturado
"In stock","In stock"
"Out of stock","Out of stock"
Availability:,Availability:
"Use Config Settings","Utilizar opções de configuração"
Minimum,Minimum
Maximum,Maximum
"Gift Card Information","Informações de Cartão de Presente"
Virtual,Virtual
Physical,Físico
Combined,Somado
"Add Amount","Adicionar valor"
"Gift Card Type","Tipo de Cartão de Presente"
"Gift Card Sender","Remetente do Cartão de Presente"
"Gift Card Recipient","Destinatário do Cartão de Presente"
"Gift Card Message","Mensagem do Cartão de Presente"
"Gift Card Lifetime","Validade do Cartão de Presente"
"Gift Card Is Redeemable","O Cartão de Presente é resgatável"
"We cannot create this gift card.","We cannot create this gift card."
"Gift Card Accounts","Contas de Cartão de Presente"
"Duplicate amount found.","Duplicate amount found."
"Something went wrong  preparing the gift card.","Something went wrong  preparing the gift card."
"Please specify a gift card amount.","Please specify a gift card amount."
"Please specify all the required information.","Especifique todas as informações necessárias."
"Gift Card max amount is %1","Gift Card max amount is %1"
"Gift Card min amount is %1","Gift Card min amount is %1"
"Please specify a recipient name.","Please specify a recipient name."
"Please specify a sender name.","Please specify a sender name."
"Please specify a recipient email.","Please specify a recipient email."
"Please specify a sender email.","Please specify a sender email."
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>."
Amount,Valor
"Choose an Amount...","Escolha um valor..."
"Other Amount...","Outro valor..."
"Amount in %1","Amount in %1"
"Sender Name","Nome do remetente"
"Sender Email","E-mail do remetente"
"Recipient Name","Nome do destinatário"
"Recipient Email","E-mail do destinatário"
Message,Mensagem
"Maximum length of the message is %1 characters.","Maximum length of the message is %1 characters."
"Messaging and Lifetime","Messaging and Lifetime"
"Treat Balance as Store Credit","Treat Balance as Store Credit"
"Lifetime (days)","Validade (dias)"
"Allow Message","Permitir mensagem"
"Email Template","Modelo de e-mail"
"Delete Amount","Excluir valor"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maximum: %1"
