"%d Review(s)","%d отзыв(ов)"
"(%s Reviews)","(%s отзывов)"
"(Posted on %s)","(Добавлен %s)"
"1 star","1 звезда"
"2 stars","2 звезды"
"3 stars","3 звезды"
"4 stars","4 звезды"
"5 stars","5 звёзд"
"Add Items to Cart","Добавить товары в корзину"
"Add to Cart","Добавить в корзину"
"Add to Compare","Добавить к сравнению"
"Add to Wishlist","Отметить товар"
"Add Your Review","Добавьте Ваш отзыв"
"Availability: In stock. Ships within 24hours.","Доступность: На складе. Отгрузка в течение 24 часов."
"Availability: Out of stock.","Доступность: Нет на складе."
"Average Customer Rating","Средний рейтинг покупателей"
"Average Customer Rating:","Средний рейтинг покупателей:"
Back,Вернуться
"Back to Main Product Info","Вернуться на страницу карточки товара"
"Back to My Reviews","Вернуться к моим отзывам"
"Back to Product Reviews","Вернуться в отзывам товара"
"Be the first to review this product","Будьте первым, оставьте отзыв к данному товару"
"Buy %s for %s","Купить %s за <strong>%s</strong>"
"Customer Reviews","Отзывы покупателя"
"How do you rate this product?","Как Вы оцениваете данный товар?"
"My Product Reviews","Мои отзывы к товарам"
"My Recent Reviews","Мои недавние отзывы"
Nickname,"Имя пользователя"
OR,ИЛИ
"Please select one of each of the ratings above","Пожалуйста, выберите рейтинг выше"
"Product Rating:","Рейтинг товара:"
"Product Review (submitted on %s):","<strong>Отзыв товара</strong> (добавлен %s):"
"Product Reviews","Отзывы к товару"
Qty,Количество
Rating:,Рейтинг:
Review,Отзыв
"Review by %s","Отзыв от <em>%s</em>"
"Review Details","Отзыв подробнее"
"Submit Review","Добавить отзыв"
"Summary of Your Review","Ваш отзыв кратко"
"Unable to post review. Please try again later.","Невозможно добавить отзыв. Пожалуйста, попробуйте позже."
"View All Reviews","Смотреть все отзывы"
"View Details",Подробнее
"Write Your Own Review","Оставьте свой отзыв"
"You have submitted no reviews.","Вы ещё не оставляли отзывов."
"You're reviewing: %s","Вы оставляете отзыв для товара: <span class=""normal-weight"">%s</span>"
"Your Rating:","Ваш рейтинг:"
"Your Review (submitted on %s):","<strong>Ваш отзыв</strong> (добавлен %s):"
"Your review has been accepted for moderation","Ваш отзыв принят к проверке"
