Cannot create wishlist,Kan ikke oprette ønskeseddel
Your Wishlist was successfully shared,Din ønskeseddel er nu delt
My Wishlist (%d item),Min ønskeseddel (%d ønske)
My Wishlist,Min ønskeseddel
E-mail Addresses required,E-mailadresser kræves
My Wishlist (%d items),Min ønskeseddel (%d ønsker)
Wishlist Sharing,Deling af ønskeseddel
%s's Wishlist,%s's ønskeseddel
Cannot specify product,Kan ikke specificere produkt
Remove Item,Fjern ønske
Added On,Tilføjet den
Go to Wishlist,Se ønskeseddel
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Indtast venligst valide e-mailadresser adskilt med kommaer. For eksempel: lottejensen@adresse.dk, soren@eksempel.dk."
Are you sure you want to remove this product from your wishlist?,"Er du sikker på, at du vil fjerne produktet fra din ønskeseddel?"
Share Wishlist,Del din ønskeddel med andre
Product,Produkt
Last Added Items,Nyeste ønsker
You have placed no product yet.,Du har ingen varer på din ønskeseddel endnu.
Update Wishlist,Opdater ønskeseddel
* Required Fields,* Skal udfyldes
Add to Cart,Læg i kurv
You have no items in your wishlist.,Din ønskeseddel er tom.
View Product,Vis produkt
Comment,Kommentar
Add All to Cart,Læg alle ønsker i indkøbskurven
Add to Wishlist,Tilføj til ønskeseddel
"Email addresses, separated by commas","E-mailadresser, adskilt med komma"
Share Your Wishlist,Del din ønskeseddel med andre
"Please, enter your comments...",Skriv dine kommentarer her...
"My Wishlist - <a href=""%s"">%d Item(s)</a>","Min ønskeseddel <span class=""count"">- <a href=""%s"">%d ønske(r)</a></span>"
Message,Besked
Are You sure?,Er du sikker?
