"503 Service Unavailable","503 Servicio no disponible"
"200 OK","200 OK"
"Website Closed","Sitio cerrado"
"Private Sales: Login Only","Ventas privadas: Acceso sólo"
"Private Sales: Login and Register","Ventas privadas: Acceso y Registro"
"To login form (302 Found)","Al formulario de acceso (302 encontrado)"
"To landing page (302 Found)","A la página de destino (302 encontrado)"
"Startup Page","Startup Page"
"Landing Page","Landing Page"
"Access Restriction","Access Restriction"
"Restriction Mode","Restriction Mode"
"Applicable only if restriction mode is set to ""Private Sales"".","Applicable only if restriction mode is set to ""Private Sales""."
"HTTP Response","HTTP Response"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML."
