"AUTHENTICATE","身份验证"
"An error has occurred","发生错误"
"Click <a href=""%s"">here</a> to continue shopping.","单击<a href=""%s"">这里</a>来继续购物。"
"Customer was redirected to Protx","客户曾被重定向到Protx"
"DEFERRED","延期"
"Debug","调试"
"Enabled","已启用"
"General contact email will be used if left empty.","如果留空则使用通用联系邮件。"
"Live","动态"
"Mode","模式"
"New Order Status","新订单状态"
"Order total amount does not match protx gross total amount","订单总数与Protx的处理数量不匹配"
"PAYMENT","支付"
"Payment Action","支付操作"
"Payment from Applicable Countries","从可接受的国家支付"
"Payment from Specific Countries","从指定的国家支付"
"Protx Standard","Protx标准版"
"Simulator","模拟器"
"Sort Order","排序顺序"
"Store name will be used if left empty.","如果留空，则使用商店名称。"
"Test","测试"
"The customer has returned from Protx.","客户已从Protx返回。"
"The order %s was canceled by the customer.","订单 %s 被客户取消。"
"Title","标题"
"Transaction Description","转帐描述"
"Vendor Email","供应商邮件"
"Vendor Email Notification","供应商邮件通知"
"Vendor Encrypted Password","供应商加密密码"
"Vendor Name","供应商名称"
"You will be redirected to protx in a few seconds.","几秒后，您将重定向到Protx。"
"You will be redirected to the Protx website when you place an order.","当您下单时，您将被重定向到Protx网站。"
